customer_id,age,gender,income,location,marital_status,preferred_category,price_range,preferred_brand,loyalty_tier
cust001,46,other,350000,ahmedabad-gj,married,smartphone,35000-50000,xiaomi,bronze
cust002,36,other,1800000,kolkata-wb,married,smartphone,80000-120000,vivo,bronze
cust003,57,other,1800000,hyderabad-ts,married,smartphone,35000-50000,google,silver
cust004,52,female,750000,kolkata-wb,single,smartphone,50000-80000,samsung,bronze
cust005,42,other,350000,ahmedabad-gj,married,smartphone,35000-50000,vivo,gold
cust006,28,other,950000,pune-mh,married,smartphone,10000-20000,vivo,bronze
cust007,56,female,750000,delhi-dl,married,smartphone,35000-50000,samsung,bronze
cust008,54,male,1200000,delhi-dl,married,smartphone,10000-20000,oppo,platinum
cust009,24,other,1200000,kochi-kl,single,smartphone,20000-35000,oneplus,gold
cust010,42,male,750000,hyderabad-ts,married,smartphone,80000-120000,motorola,bronze
cust011,23,female,950000,chennai-tn,married,smartphone,20000-35000,samsung,gold
cust012,41,male,1800000,kochi-kl,single,smartphone,120000-180000,oneplus,bronze
cust013,54,other,1200000,kolkata-wb,single,smartphone,120000-180000,oppo,bronze
cust014,40,other,1800000,mumbai-mh,single,smartphone,50000-80000,google,bronze
cust015,45,male,2500000,bangalore-ka,single,smartphone,80000-120000,apple,gold
cust016,45,other,950000,bangalore-ka,single,smartphone,80000-120000,vivo,bronze
cust017,35,other,1200000,kolkata-wb,married,smartphone,20000-35000,xiaomi,silver
cust018,18,other,350000,hyderabad-ts,single,smartphone,10000-20000,google,platinum
cust019,49,male,2500000,bangalore-ka,single,smartphone,50000-80000,oneplus,gold
cust020,53,female,1200000,delhi-dl,single,smartphone,10000-20000,apple,silver
cust021,53,other,950000,delhi-dl,single,smartphone,35000-50000,oneplus,bronze
cust022,54,female,1200000,hyderabad-ts,single,smartphone,20000-35000,apple,bronze
cust023,20,male,1800000,delhi-dl,single,smartphone,20000-35000,xiaomi,platinum
cust024,54,other,350000,jaipur-rj,single,smartphone,50000-80000,google,silver
cust025,30,female,1200000,hyderabad-ts,married,smartphone,120000-180000,oppo,silver
cust026,33,other,750000,bangalore-ka,single,smartphone,80000-120000,google,silver
cust027,36,other,550000,kolkata-wb,married,smartphone,80000-120000,nothing,bronze
cust028,30,male,1200000,kolkata-wb,single,smartphone,80000-120000,google,silver
cust029,57,male,2500000,pune-mh,single,smartphone,50000-80000,realme,platinum
cust030,50,male,550000,pune-mh,married,smartphone,20000-35000,oppo,platinum
cust031,31,female,2500000,jaipur-rj,married,smartphone,35000-50000,realme,bronze
cust032,41,female,1200000,kolkata-wb,married,smartphone,50000-80000,motorola,gold
cust033,30,female,550000,mumbai-mh,single,smartphone,10000-20000,oneplus,gold
cust034,19,male,1200000,kochi-kl,single,smartphone,35000-50000,apple,gold
cust035,52,other,950000,kochi-kl,married,smartphone,120000-180000,vivo,gold
cust036,38,male,2500000,hyderabad-ts,married,smartphone,80000-120000,oneplus,silver
cust037,20,other,750000,hyderabad-ts,married,smartphone,10000-20000,oppo,gold
cust038,25,male,1800000,bangalore-ka,married,smartphone,35000-50000,samsung,platinum
cust039,56,other,2500000,chennai-tn,single,smartphone,20000-35000,google,platinum
cust040,49,female,1800000,bangalore-ka,married,smartphone,35000-50000,apple,platinum
cust041,22,male,2500000,pune-mh,married,smartphone,20000-35000,motorola,platinum
cust042,28,male,550000,pune-mh,married,smartphone,20000-35000,nothing,gold
cust043,38,female,950000,kolkata-wb,single,smartphone,120000-180000,oppo,bronze
cust044,54,other,1200000,bangalore-ka,married,smartphone,120000-180000,samsung,bronze
cust045,29,male,950000,mumbai-mh,single,smartphone,80000-120000,apple,silver
cust046,43,other,1200000,ahmedabad-gj,married,smartphone,20000-35000,nothing,platinum
cust047,52,other,750000,hyderabad-ts,single,smartphone,10000-20000,google,platinum
cust048,34,female,750000,mumbai-mh,married,smartphone,80000-120000,oneplus,platinum
cust049,45,female,950000,bangalore-ka,married,smartphone,50000-80000,oppo,platinum
cust050,53,male,1800000,ahmedabad-gj,married,smartphone,50000-80000,xiaomi,platinum
cust051,50,male,750000,delhi-dl,married,smartphone,80000-120000,oneplus,silver
cust052,29,other,550000,kochi-kl,married,smartphone,120000-180000,nothing,silver
cust053,55,male,350000,kolkata-wb,married,smartphone,10000-20000,realme,platinum
cust054,21,other,350000,pune-mh,married,smartphone,120000-180000,nothing,silver
cust055,56,other,950000,kochi-kl,single,smartphone,50000-80000,xiaomi,silver
cust056,19,female,550000,hyderabad-ts,married,smartphone,120000-180000,realme,silver
cust057,22,female,550000,chennai-tn,single,smartphone,80000-120000,google,silver
cust058,56,female,2500000,delhi-dl,married,smartphone,120000-180000,samsung,gold
cust059,42,female,550000,kochi-kl,single,smartphone,35000-50000,xiaomi,gold
cust060,28,female,1800000,delhi-dl,married,smartphone,20000-35000,motorola,silver
cust061,39,female,1200000,jaipur-rj,married,smartphone,35000-50000,samsung,platinum
cust062,33,female,1800000,ahmedabad-gj,single,smartphone,50000-80000,apple,platinum
cust063,53,male,350000,chennai-tn,married,smartphone,120000-180000,apple,silver
cust064,40,other,1800000,bangalore-ka,married,smartphone,10000-20000,vivo,platinum
cust065,47,male,750000,mumbai-mh,single,smartphone,80000-120000,nothing,platinum
cust066,41,female,350000,bangalore-ka,married,smartphone,120000-180000,apple,bronze
cust067,51,male,350000,pune-mh,single,smartphone,120000-180000,oneplus,gold
cust068,36,other,1200000,pune-mh,single,smartphone,50000-80000,oppo,platinum
cust069,22,female,350000,mumbai-mh,married,smartphone,35000-50000,vivo,platinum
cust070,40,female,1200000,bangalore-ka,single,smartphone,10000-20000,realme,silver
cust071,50,other,2500000,delhi-dl,single,smartphone,35000-50000,motorola,gold
cust072,57,male,950000,mumbai-mh,single,smartphone,120000-180000,google,bronze
cust073,32,other,1800000,hyderabad-ts,single,smartphone,35000-50000,oneplus,silver
cust074,28,other,2500000,kolkata-wb,single,smartphone,80000-120000,oneplus,platinum
cust075,54,female,750000,pune-mh,single,smartphone,35000-50000,realme,silver
cust076,27,male,1800000,kolkata-wb,single,smartphone,35000-50000,google,silver
cust077,49,male,750000,hyderabad-ts,single,smartphone,80000-120000,vivo,silver
cust078,54,male,750000,kochi-kl,married,smartphone,80000-120000,google,bronze
cust079,44,other,350000,chennai-tn,married,smartphone,50000-80000,samsung,bronze
cust080,46,female,350000,hyderabad-ts,single,smartphone,20000-35000,realme,bronze
cust081,50,female,950000,ahmedabad-gj,married,smartphone,35000-50000,nothing,silver
cust082,23,female,950000,delhi-dl,single,smartphone,80000-120000,oneplus,bronze
cust083,31,female,950000,delhi-dl,married,smartphone,20000-35000,nothing,silver
cust084,39,male,1200000,mumbai-mh,single,smartphone,20000-35000,apple,platinum
cust085,46,other,1800000,kochi-kl,married,smartphone,35000-50000,oneplus,gold
cust086,35,other,750000,jaipur-rj,single,smartphone,20000-35000,vivo,gold
cust087,23,male,750000,chennai-tn,single,smartphone,10000-20000,oppo,silver
cust088,35,female,2500000,bangalore-ka,married,smartphone,120000-180000,vivo,bronze
cust089,21,male,2500000,kochi-kl,single,smartphone,10000-20000,oppo,gold
cust090,54,female,350000,jaipur-rj,single,smartphone,50000-80000,nothing,bronze
cust091,25,other,750000,pune-mh,married,smartphone,50000-80000,motorola,bronze
cust092,22,female,750000,pune-mh,single,smartphone,10000-20000,oneplus,bronze
cust093,24,other,1200000,chennai-tn,married,smartphone,20000-35000,vivo,gold
cust094,32,female,550000,bangalore-ka,married,smartphone,10000-20000,google,platinum
cust095,38,other,2500000,jaipur-rj,single,smartphone,50000-80000,apple,silver
cust096,55,female,1800000,ahmedabad-gj,married,smartphone,50000-80000,vivo,bronze
cust097,40,other,1200000,ahmedabad-gj,single,smartphone,20000-35000,xiaomi,gold
cust098,30,female,950000,hyderabad-ts,married,smartphone,50000-80000,apple,bronze
cust099,24,other,950000,jaipur-rj,single,smartphone,35000-50000,nothing,platinum
cust100,48,other,950000,hyderabad-ts,married,smartphone,120000-180000,google,bronze
